horizon,model,MAE,MAPE,RMSE,MAE_vs_seasonal_%
1,lightgbm,481.6810382512991,0.9160127356285143,644.1454175614564,81.5
1,naive,3952.942177983539,7.542790332124238,5925.5441708194885,-51.7
1,seasonal_naive,2605.0845177469137,4.991930020054667,4055.374784222142,0.0
6,lightgbm,1229.4491301196242,2.3420649733736867,1643.5774767300159,52.8
6,naive,3953.016263631687,7.543043990923029,5925.559375517509,-51.8
6,seasonal_naive,2604.0897317386834,4.989959206612602,4053.9580193500115,0.0
12,lightgbm,1397.5381548074151,2.6566280922922365,1863.0757812574818,46.3
12,naive,3951.2963099279837,7.539986982838394,5923.64861013161,-51.9
12,seasonal_naive,2601.8739452160494,4.986084330343955,4049.5284466526136,0.0
24,lightgbm,1395.0570788901273,2.6653035931895066,1875.8405241061512,46.3
24,naive,3949.998992798354,7.537987867467669,5922.673515105996,-52.0
24,seasonal_naive,2597.9315751028807,4.979840425112601,4042.2626329331392,0.0
48,lightgbm,1665.1059252137925,3.167753767446667,2210.5733918739948,35.8
48,naive,6390.063913580247,12.283792874794663,8353.78113579444,-146.2
48,seasonal_naive,2595.1472466563782,4.974606214175526,4039.6218787349353,0.0
